Title, Artist, Genre, Verse1, Verse2, Verse3, Verse4, Verse5, Verse6, Verse7, Verse8, Chorus1, Chorus2, Chorus3, Chorus4, Chorus5, Chorus6, Chorus7, Chorus8
Cherry Wine,Hozier,Folk,,,,,,,,,,,,,,,,
Step Out,Jose Gonzales,Folk,,,,,,,,,,,,,,,,
Inis Mona,Eluveitie,Folk,,,,,,,,,,,,,,,,
Major Minus,Coldplay,Folk,,,,,,,,,,,,,,,,
Firefly - Main Title,Joss Whedon,Folk,,,,,,,,,,,,,,,,
June and Johnny,Jon Foreman,Folk,,,,,,,,,,,,,,,,
Vodka,Korpiklaani,Folk,,,,,,,,,,,,,,,,
Hard To Say Im Sorry,Chicago,Folk,,,,,,,,,,,,,,,,
The East Is Red,Li Huanzhi,Folk,,,,,,,,,,,,,,,,
Better Be Home Soon,Crowded House,Folk,,,,,,,,,,,,,,,,
Women Of Ireland,Mike Oldfield,Folk,,,,,,,,,,,,,,,,
Fichtl's Lied,Die Woodys,Folk,,,,,,,,,,,,,,,,
Katyusha,Matvei Blanter,Folk,,,,,,,,,,,,,,,,
Ievan Polkka - Leekspin,Loituma,Folk,,,,,,,,,,,,,,,,
You're So Vain,Carly Simon,Folk,,,,,,,,,,,,,,,,
The Rose,Janis Joplin,Folk,,,,,,,,,,,,,,,,
Message In A Bottle,The Police,Reggae,,,,,,,,,,,,,,,,
Wedding Dress,Taeyang,Reggae,,,,,,,,,,,,,,,,
Long Train Runnin',The Doobie Brothers,Reggae,,,,,,,,,,,,,,,,
Exodus,Bob Marley,Reggae,,,,,,,,,,,,,,,,
Bongo Bong,Manu Chao,Reggae,,,,,,,,,,,,,,,,
